date,close,open,high,low,volume,NASDAQ,NYSE,SP500,FTSE100,NIKKEI225,BSE,RUSSELL2000,HENG SENG,SSE,Oil,gold,VIX,Dollar,AMAZON,Google,microsoft,Sentiment
2012-10-09,20.23,20.39,20.55,19.97,27160000.0,3065.0,8279.1,1441.48,5810.25,8769.59,18793.36,827.92,20937.28,2115.23,92.39,186.13,16.37,79.95,250.96,372.41,29.28,
2012-10-10,19.64,19.93,19.94,19.45,39320000.0,3051.8,8229.2,1432.56,5776.71,8596.23,18631.1,826.75,20919.6,2119.94,91.25,187.43,16.29,79.92,244.99,372.64,28.98,0.18804419562220573
2012-10-11,19.75,19.88,19.96,19.61,21820000.0,3049.4,8256.6,1432.84,5829.75,8546.78,18804.75,829.78,20999.05,2102.87,92.07,188.3,15.59,79.78,244.22,376.1,28.95,0.8490086793899536
2012-10-12,19.52,19.75,19.8,19.48,18810000.0,3044.1,8227.1,1428.59,5793.32,8534.12,18675.18,823.09,21136.43,2104.93,91.86,184.9,16.14,79.67,242.36,372.74,29.2,
2012-10-15,19.52,19.68,19.88,19.49,20190000.0,3064.2,8293.5,1440.13,5805.61,8577.93,18713.55,828.28,21148.25,2098.7,91.85,185.15,15.27,79.74,244.18,370.85,29.51,
2012-10-16,19.48,19.68,19.69,19.3,21830000.0,3101.2,8386.5,1454.92,5870.54,8701.31,18577.7,835.44,21207.07,2098.81,92.09,188.88,15.22,79.41,243.94,372.71,29.49,
2012-10-17,19.88,19.5,20.48,19.37,44070000.0,3104.1,8446.5,1460.91,5910.91,8806.55,18610.77,842.52,21416.64,2105.62,92.12,191.04,15.07,79.02,247.49,378.11,29.59,0.08716884255409241
2012-10-18,18.98,19.7,19.79,18.89,52160000.0,3072.9,8442.8,1457.34,5917.05,8982.86,18791.93,837.12,21518.71,2131.69,92.1,186.06,15.03,79.37,244.85,347.84,29.5,0.2409640848636627
2012-10-19,19.0,19.0,19.06,18.8,34830000.0,3005.6,8324.2,1433.19,5896.15,9002.68,18682.31,821.0,21551.76,2128.3,90.05,185.8,17.06,79.62,240.0,341.23,28.64,-0.22205881774425507
2012-10-22,19.32,19.2,19.43,19.05,32450000.000000004,3017.0,8329.2,1433.82,5882.91,9010.71,18793.44,820.52,21697.55,2132.76,88.73,188.07,16.62,79.65,233.78,339.66,28.0,-0.28181394437948865
2012-10-23,19.5,19.25,19.8,19.1,78380000.0,2990.5,8195.3,1413.11,5797.91,9014.25,18710.02,816.2,,2114.45,86.67,182.4,18.83,79.98,234.31,340.5,28.05,0.3696411004556077
2012-10-24,23.23,24.13,24.25,22.85,228950000.0,2981.7,8179.3,1408.75,5804.78,8954.3,,813.65,21763.78,2115.99,85.73,179.3,18.33,79.91,228.49,338.98,27.9,0.0012255034276417323
2012-10-25,22.56,23.29,23.31,22.47,76140000.0,2986.1,8211.9,1412.97,5805.05,9055.2,18758.63,816.82,21810.23,2101.58,86.05,184.14,18.12,80.04,222.92,339.21,27.88,0.7450897693634033
2012-10-26,21.94,22.4,22.88,21.88,73260000.0,2987.9,8190.2,1411.94,5806.71,8933.06,18625.34,813.25,21545.57,2066.21,86.28,182.72,17.81,80.07,238.24,337.9,28.21,0.5261359214782715
2012-10-31,21.11,20.82,21.5,20.73,99380000.0,2977.2,8221.4,1412.16,5782.7,8928.29,18505.38,818.73,21641.82,2068.88,86.24,188.25,18.6,79.92,232.89,340.48,28.54,-0.16870690137147906
2012-11-01,21.21,21.08,21.44,21.01,37710000.0,3020.1,8311.4,1427.59,5861.92,8946.87,18561.7,827.85,21821.87,2104.43,87.09,187.08,16.69,80.05,232.14,344.13,29.52,-0.024517282843589783
